,class,path
104,5,/MOHSEN-20200716-WA0008.wav-chunk-0
105,5,/MOHSEN-20200716-WA0008.wav-chunk-1
106,5,/MOHSEN-20200716-WA0008.wav-chunk-2
107,5,/MOHSEN-20200716-WA0008.wav-chunk-3
108,5,/MOHSEN-20200716-WA0008.wav-chunk-4
109,5,/MOHSEN-20200716-WA0008.wav-chunk-5
110,5,/MOHSEN-20200716-WA0008.wav-chunk-6
111,6,/REZA-20200716-WA0003.wav-chunk-0
112,6,/REZA-20200716-WA0003.wav-chunk-1
113,6,/REZA-20200716-WA0003.wav-chunk-2
114,6,/REZA-20200716-WA0003.wav-chunk-3
115,6,/REZA-20200716-WA0003.wav-chunk-4
116,6,/REZA-20200716-WA0003.wav-chunk-5
117,6,/REZA-20200716-WA0003.wav-chunk-6
118,6,/REZA-20200716-WA0003.wav-chunk-7
119,6,/REZA-20200716-WA0003.wav-chunk-8
120,6,/REZA-20200716-WA0003.wav-chunk-9
121,6,/REZA-20200716-WA0003.wav-chunk-10
122,6,/REZA-20200716-WA0003.wav-chunk-11
123,6,/REZA-20200716-WA0003.wav-chunk-12
124,6,/REZA-20200716-WA0003.wav-chunk-13
125,6,/REZA-20200716-WA0004.wav-chunk-0
126,6,/REZA-20200716-WA0004.wav-chunk-1
127,6,/REZA-20200716-WA0004.wav-chunk-2
128,6,/REZA-20200716-WA0004.wav-chunk-3
129,6,/REZA-20200716-WA0004.wav-chunk-4
130,6,/REZA-20200716-WA0004.wav-chunk-5
131,6,/REZA-20200716-WA0004.wav-chunk-6
132,6,/REZA-20200716-WA0004.wav-chunk-7
133,6,/REZA-20200716-WA0005.wav-chunk-0
134,6,/REZA-20200716-WA0005.wav-chunk-1
135,6,/REZA-20200716-WA0005.wav-chunk-2
136,6,/REZA-20200716-WA0005.wav-chunk-3
137,6,/REZA-20200716-WA0005.wav-chunk-4
138,6,/REZA-20200716-WA0005.wav-chunk-5
139,6,/REZA-20200716-WA0005.wav-chunk-6
140,6,/REZA-20200716-WA0005.wav-chunk-7
141,7,/SAJAD-20200716-WA0000.wav-chunk-0
142,7,/SAJAD-20200716-WA0000.wav-chunk-1
143,7,/SAJAD-20200716-WA0000.wav-chunk-2
144,7,/SAJAD-20200716-WA0000.wav-chunk-3
145,7,/SAJAD-20200716-WA0000.wav-chunk-4
146,7,/SAJAD-20200716-WA0000.wav-chunk-5
147,7,/SAJAD-20200716-WA0000.wav-chunk-6
148,7,/SAJAD-20200716-WA0000.wav-chunk-7
149,7,/SAJAD-20200716-WA0000.wav-chunk-8
150,7,/SAJAD-20200716-WA0000.wav-chunk-9
151,7,/SAJAD-20200716-WA0000.wav-chunk-10
152,7,/SAJAD-20200716-WA0001.wav-chunk-0
153,7,/SAJAD-20200716-WA0001.wav-chunk-1
154,7,/SAJAD-20200716-WA0001.wav-chunk-2
155,7,/SAJAD-20200716-WA0001.wav-chunk-3
156,7,/SAJAD-20200716-WA0001.wav-chunk-4
157,7,/SAJAD-20200716-WA0001.wav-chunk-5
158,7,/SAJAD-20200716-WA0001.wav-chunk-6
159,7,/SAJAD-20200716-WA0001.wav-chunk-7
160,7,/SAJAD-20200716-WA0001.wav-chunk-8
161,7,/SAJAD-20200716-WA0001.wav-chunk-9
162,8,/TAYEB-20200714-WA0009.wav-chunk-0
163,8,/TAYEB-20200714-WA0009.wav-chunk-1
164,8,/TAYEB-20200714-WA0009.wav-chunk-2
165,8,/TAYEB-20200714-WA0009.wav-chunk-3
166,8,/TAYEB-20200714-WA0009.wav-chunk-4
167,8,/TAYEB-20200714-WA0009.wav-chunk-5
168,8,/TAYEB-20200714-WA0009.wav-chunk-6
169,8,/TAYEB-20200714-WA0009.wav-chunk-7
170,8,/TAYEB-20200714-WA0009.wav-chunk-8
171,8,/TAYEB-20200714-WA0009.wav-chunk-9
172,8,/TAYEB-20200714-WA0010.wav-chunk-0
173,8,/TAYEB-20200714-WA0010.wav-chunk-1
174,8,/TAYEB-20200714-WA0010.wav-chunk-2
175,8,/TAYEB-20200714-WA0010.wav-chunk-3
176,8,/TAYEB-20200714-WA0010.wav-chunk-4
177,8,/TAYEB-20200714-WA0010.wav-chunk-5
178,8,/TAYEB-20200714-WA0010.wav-chunk-6
179,8,/TAYEB-20200714-WA0010.wav-chunk-7
180,8,/TAYEB-20200714-WA0010.wav-chunk-8
181,8,/TAYEB-20200714-WA0010.wav-chunk-9
